Plate,Well,Well Number,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Type],Compound Name,Compound Identifier (CAS Number),Compound Molecular Weight,Compound URL,Compound Concentration (microMolar),Compound General Target Class,Compound General activity,Compound Information,Control Type,Channels,Image File Name
1.2,G9,6,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,OSU-03012,742112-33-0,460.45,https://pubchem.ncbi.nlm.nih.gov/compound/10027278,2.5,Others,PDK,OSU-03012 (AR-12) is a potent inhibitor of recombinant PDK-1 with IC50 of 5 μM in a cell-free assay and 2-fold increase in potency over OSU-02067.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40506.nd2.tif_merged.tif
1.2,F9,7,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Danusertib,827318-97-8,474.55,https://pubchem.ncbi.nlm.nih.gov/compound/11442891,2.5,Others,"Aurora Kinase,Bcr-Abl,c-RET,FGFR","Danusertib (PHA-739358) is an Aurora kinase inhibitor for Aurora A/B/C with IC50 of 13 nM/79 nM/61 nM in cell-free assays, modestly potent to Abl, TrkA, c-RET and FGFR1, and less potent to Lck, VEGFR2/3, c-Kit, CDK2, etc. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40507.nd2.tif_merged.tif
1.2,E9,8,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,BI 2536,755038-02-9,521.66,https://pubchem.ncbi.nlm.nih.gov/compound/11364421,2.5,Others,PLK,BI2536 is a potent Plk1 inhibitor with IC50 of 0.83 nM in a cell-free assay. It shows 4- and 11-fold greater selectivity against Plk2 and Plk3. Phase 2.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40508.nd2.tif_merged.tif
1.2,D9,9,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Foretinib,849217-64-7,632.65,https://pubchem.ncbi.nlm.nih.gov/compound/42642645,2.5,Others,"c-Met,VEGFR","Foretinib (GSK1363089) is an ATP-competitive inhibitor of HGFR and VEGFR, mostly for Met and KDR with IC50 of 0.4 nM and 0.9 nM in cell-free assays. Less potent against Ron, Flt-1/3/4, Kit, PDGFRα/β and Tie-2, and little activity to FGFR1 and EGFR. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40509.nd2.tif_merged.tif
1.2,D10,10,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,GSK690693,937174-76-0,425.48,https://pubchem.ncbi.nlm.nih.gov/compound/16725726,2.5,Others,Akt,"GSK690693 is a pan-Akt inhibitor targeting Akt1/2/3 with IC50 of 2 nM/13 nM/9 nM in cell-free assays, also sensitive to the AGC kinase family: PKA, PrkX and PKC isozymes. Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40510.nd2.tif_merged.tif
1.2,E10,11,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,JNJ-38877605,943540-75-8,377.35,https://pubchem.ncbi.nlm.nih.gov/compound/46911863,2.5,Others,c-Met,"JNJ-38877605 is an ATP-competitive inhibitor of c-Met with IC50 of 4 nM, 600-fold selective for c-Met than 200 other tyrosine and serine-threonine kinases. Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40511.nd2.tif_merged.tif
1.2,F10,12,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Triciribine,35943-35-2,320.3,https://pubchem.ncbi.nlm.nih.gov/compound/65399,2.5,Others,Akt,"Triciribine is a DNA synthesis inhibitor, also inhibits Akt in PC3 cell line and HIV-1 in CEM-SS, H9, H9IIIB, U1 cells with IC50 of 130 nM and 20 nM, respectively; does not inhibit PI3K/PDK1; 5000-fold less active in cells lacking adenosine kinase. Phase 1/2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40512.nd2.tif_merged.tif
1.2,G10,13,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Cabozantinib,849217-68-1,501.51,https://pubchem.ncbi.nlm.nih.gov/compound/25102847,2.5,Others,"TAM Receptor,c-Kit,c-Met,FLT3,Tie-2,VEGFR","Cabozantinib (XL184, BMS-907351) is a potent VEGFR2 inhibitor with IC50 of 0.035 nM and also inhibits c-Met, Ret, Kit, Flt-1/3/4, Tie2, and AXL with IC50 of 1.3 nM, 4 nM, 4.6 nM, 12 nM/11.3 nM/6 nM, 14.3 nM and 7 nM in cell-free assays, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40513.nd2.tif_merged.tif
1.2,G11,14,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Everolimus,159351-69-6,958.22,https://pubchem.ncbi.nlm.nih.gov/compound/6442177,2.5,Others,mTOR,Everolimus (RAD001) is an mTOR inhibitor of FKBP12 with IC50 of 1.6-2.4 nM in a cell-free assay.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40514.nd2.tif_merged.tif
1.2,F11,15,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,BMS-754807,1001350-96-4,461.49,https://pubchem.ncbi.nlm.nih.gov/compound/24785538,2.5,Others,"c-Met,IGF-1R,Trk receptor","BMS-754807 is a potent and reversible inhibitor of IGF-1R/InsR with IC50 of 1.8 nM/1.7 nM in cell-free assays, less potent to Met, Aurora A/B, TrkA/B and Ron, and shows little activity to Flt3, Lck, MK2, PKA, PKC etc. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40515.nd2.tif_merged.tif
1.2,E11,16,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Alisertib,1028486-01-2,518.92,https://pubchem.ncbi.nlm.nih.gov/compound/24771867,2.5,Others,Aurora Kinase,Alisertib (MLN8237) is a selective Aurora A inhibitor with IC50 of 1.2 nM in a cell-free assay. It has >200-fold higher selectivity for Aurora A than Aurora B. Phase 3.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40516.nd2.tif_merged.tif
1.2,D11,17,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,AT9283,896466-04-9,381.43,https://pubchem.ncbi.nlm.nih.gov/compound/135398495,2.5,Others,"Aurora Kinase,Bcr-Abl,JAK","AT9283 is a potent JAK2/3 inhibitor with IC50 of 1.2 nM/1.1 nM in cell-free assays; also potent to Aurora A/B, Abl(T315I). Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40517.nd2.tif_merged.tif
1.2,D12,18,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Brivanib Alaninate,649735-63-7,441.46,https://pubchem.ncbi.nlm.nih.gov/compound/11154925,2.5,Others,"FGFR,VEGFR","Brivanib alaninate (BMS-582664) is the prodrug of BMS-540215, an ATP-competitive inhibitor against VEGFR2 with IC50 of 25 nM.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40518.nd2.tif_merged.tif
1.2,E12,19,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Tyrphostin B42,133550-30-8,294.3,https://pubchem.ncbi.nlm.nih.gov/compound/5328779,2.5,Others,"EGFR,JAK","Tyrphostin B42 (AG-490) is an inhibitor of EGFR with IC50 of 0.1 μM in cell-free assays, 135-fold more selective for EGFR versus ErbB2, also inhibits JAK2 with no activity to Lck, Lyn, Btk, Syk and Src.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40519.nd2.tif_merged.tif
1.2,F12,20,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,SNS-032,345627-80-7,380.53,https://pubchem.ncbi.nlm.nih.gov/compound/3025986,2.5,Others,CDK,"SNS-032 (BMS-387032) has firstly been described as a selective inhibitor of CDK2 with IC50 of 48 nM in cell-free assays and is 10- and 20-fold selective over CDK1/CDK4. It is also found to be sensitive to CDK7/9 with IC50 of 62 nM/4 nM, with little effect on CDK6. Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40520.nd2.tif_merged.tif
1.2,G12,21,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Barasertib,722544-51-6,507.56,https://pubchem.ncbi.nlm.nih.gov/compound/16007391,2.5,Others,Aurora Kinase,"Barasertib (AZD1152-HQPA) is a highly selective Aurora B inhibitor with IC50 of 0.37 nM in a cell-free assay, ~3700 fold more selective for Aurora B over Aurora A. Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40521.nd2.tif_merged.tif
1.2,G13,22,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,PLX-4720,918505-84-7,413.83,https://pubchem.ncbi.nlm.nih.gov/compound/24180719,2.5,Others,Raf,"PLX4720 is a potent and selective inhibitor of B-RafV600E with IC50 of 13 nM in a cell-free assay, equally potent to c-Raf-1(Y340D and Y341D mutations), 10-fold selectivity for B-RafV600E than wild-type B-Raf.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40522.nd2.tif_merged.tif
1.2,F13,23,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Roscovitine,186692-46-6,354.45,https://pubchem.ncbi.nlm.nih.gov/compound/160355,2.5,Others,CDK,"Roscovitine (Seliciclib, CYC202) is a potent and selective CDK inhibitor for Cdc2, CDK2 and CDK5 with IC50 of 0.65 μM, 0.7 μM and 0.16 μM in cell-free assays. It shows little effect on CDK4/6. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40523.nd2.tif_merged.tif
1.2,E13,24,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,SNS-314 Mesylate,1146618-41-8,527.04,https://pubchem.ncbi.nlm.nih.gov/compound/24995523,2.5,Others,Aurora Kinase,"SNS-314 Mesylate is a potent and selective inhibitor of Aurora A, Aurora B and Aurora C with IC50 of 9 nM, 31 nM, and 3 nM, respectively. It is less potent to Trk A/B, Flt4, Fms, Axl, c-Raf and DDR2. Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40524.nd2.tif_merged.tif
1.2,D13,25,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Lenvatinib,417716-92-8,426.85,https://pubchem.ncbi.nlm.nih.gov/compound/9823820,2.5,Protein Tyrosine Kinase,VEGFR,"Lenvatinib (E7080) is a multi-target inhibitor, mostly for VEGFR2(KDR)/VEGFR3(Flt-4) with IC50 of 4 nM/5.2 nM, less potent against VEGFR1/Flt-1, ~10-fold more selective for VEGFR2/3 against FGFR1, PDGFRα/β in cell-free assays. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40525.nd2.tif_merged.tif
1.2,D14,26,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,CP-724714,537705-08-1,469.53,https://pubchem.ncbi.nlm.nih.gov/compound/57345837,2.5,Protein Tyrosine Kinase,"EGFR,HER2","CP-724714 is a potent, selective inhibitor of HER2/ErbB2 with IC50 of 10 nM, >640-fold selectivity against EGFR, InsR, IRG-1R, PDGFR, VEGFR2, Abl, Src, c-Met etc in cell-free assays. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40526.nd2.tif_merged.tif
1.2,E14,27,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,TGX-221,663619-89-4,364.44,https://pubchem.ncbi.nlm.nih.gov/compound/9907093,2.5,PI3K/Akt/mTOR,PI3K,"TGX-221 is a p110β-specific inhibitor with IC50 of 5 nM in a cell-free assay, 1000-fold more selective for p110β than p110α.  ",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40527.nd2.tif_merged.tif
1.2,F14,28,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,WZ3146,1214265-56-1,464.95,https://pubchem.ncbi.nlm.nih.gov/compound/44607360,2.5,Protein Tyrosine Kinase,EGFR,WZ3146 is a mutant-selective irreversible inhibitor of EGFR(L858R) and EGFR(E746_A750) with IC50 of 2 nM and 2 nM; does not inhibit ERBB2 phosphorylation (T798I).,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40528.nd2.tif_merged.tif
1.2,G14,29,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,CYC116,693228-63-6,368.46,https://pubchem.ncbi.nlm.nih.gov/compound/6420138,2.5,Cell Cycle,"Aurora Kinase,VEGFR","CYC116 is a potent inhibitor of Aurora A/B with Ki of 8.0 nM/9.2 nM, is less potent to VEGFR2 (Ki of 44 nM), with 50-fold greater potency than CDKs, not active against PKA, Akt/PKB, PKC, no effect on GSK-3α/β, CK2, Plk1 and SAPK2A. Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40529.nd2.tif_merged.tif
1.2,G15,30,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,WZ4002,1213269-23-8,494.18,https://pubchem.ncbi.nlm.nih.gov/compound/44607530,2.5,Protein Tyrosine Kinase,EGFR,"WZ4002 is a novel, mutant-selective EGFR inhibitor for EGFR(L858R)/(T790M) with IC50 of 2 nM/8 nM in BaF3 cell line; does not inhibit ERBB2 phosphorylation (T798I).",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40530.nd2.tif_merged.tif
1.2,F15,31,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,PD98059,167869-21-8,267.28,https://pubchem.ncbi.nlm.nih.gov/compound/4713,2.5,MAPK,MEK,"PD98059 is a non-ATP competitive MEK inhibitor with IC50 of 2 μM in a cell-free assay, specifically inhibits MEK-1-mediated activation of MAPK; does not directly inhibit ERK1 or ERK2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40531.nd2.tif_merged.tif
1.2,E15,32,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Regorafenib,755037-03-7,482.82,https://pubchem.ncbi.nlm.nih.gov/compound/11167602,2.5,Protein Tyrosine Kinase,"c-RET,VEGFR","Regorafenib (BAY 73-4506) is a multi-target inhibitor for VEGFR1, VEGFR2, VEGFR3, PDGFRβ, Kit, RET and Raf-1 with IC50 of 13 nM/4.2 nM/46 nM, 22 nM, 7 nM, 1.5 nM and 2.5 nM in cell-free assays, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40532.nd2.tif_merged.tif
1.2,D15,33,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,WZ8040,1214265-57-2,481.01,https://pubchem.ncbi.nlm.nih.gov/compound/44607531,2.5,Protein Tyrosine Kinase,EGFR,"WZ8040 is a novel mutant-selective irreversible EGFRT790M inhibitor, does not inhibit ERBB2 phosphorylation (T798I).",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40533.nd2.tif_merged.tif
1.2,D16,34,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,ENMD-2076,934353-76-1,375.47,https://pubchem.ncbi.nlm.nih.gov/compound/16041424,2.5,Angiogenesis,"Aurora Kinase,FLT3,VEGFR","ENMD-2076 has selective activity against Aurora A and Flt3 with IC50 of 14 nM and 1.86 nM, 25-fold selective for Aurora A than over Aurora B and less potent to VEGFR2/KDR and VEGFR3, FGFR1 and FGFR2 and PDGFRα. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40534.nd2.tif_merged.tif
1.2,E16,35,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,CUDC-101,1012054-59-9,434.49,https://pubchem.ncbi.nlm.nih.gov/compound/24756910,2.5,Epigenetics,"EGFR,HDAC,HER2","CUDC-101 is a potent multi-targeted inhibitor against HDAC, EGFR and HER2 with IC50 of 4.4 nM, 2.4 nM, and 15.7 nM, and inhibits class I/II HDACs, but not class III, Sir-type HDACs. Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40535.nd2.tif_merged.tif
1.2,F16,36,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Tivozanib,475108-18-0,454.86,https://pubchem.ncbi.nlm.nih.gov/compound/9911830,2.5,Protein Tyrosine Kinase,"c-Kit,PDGFR,VEGFR","Tivozanib (AV-951) is a potent and selective VEGFR inhibitor for VEGFR1/2/3 with IC50 of 30 nM/6.5 nM/15 nM, and also inhibits PDGFR and c-Kit, low activity observed against FGFR-1, Flt3, c-Met, EGFR and IGF-1R. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40536.nd2.tif_merged.tif
1.2,G16,37,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,YM201636,371942-69-7,467.48,https://pubchem.ncbi.nlm.nih.gov/compound/9956222,2.5,PI3K/Akt/mTOR,PI3K,"YM201636 is a selective PIKfyve inhibitor with IC50 of 33 nM, less potent to p110α and insensitive to Fabl (yeast orthologue).",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40537.nd2.tif_merged.tif
1.2,G17,38,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,OSI-930,728033-96-3,443.44,https://pubchem.ncbi.nlm.nih.gov/compound/9868037,2.5,Protein Tyrosine Kinase,"c-Kit,CSF-1R,VEGFR","OSI-930 is a potent inhibitor of Kit, KDR and CSF-1R with IC50 of 80 nM, 9 nM and 15 nM, respectively; also potent to Flt-1, c-Raf and Lck and low activity against PDGFRα/β, Flt-3 and Abl. Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40538.nd2.tif_merged.tif
1.2,F17,39,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,KU-0063794,938440-64-3,465.54,https://pubchem.ncbi.nlm.nih.gov/compound/16736978,2.5,PI3K/Akt/mTOR,mTOR,KU-0063794 is a potent and highly specific dual-mTOR inhibitor of mTORC1 and mTORC2 with IC50 of ~10 nM in cell-free assays; no effect on PI3Ks.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40539.nd2.tif_merged.tif
1.2,E17,40,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Flavopiridol,146426-40-6,401.84,https://pubchem.ncbi.nlm.nih.gov/compound/5287969,2.5,Cell Cycle,CDK,"Flavopiridol (Alvocidib) competes with ATP to inhibit CDKs including CDK1, CDK2, CDK4 and CDK6 with IC50 of ~ 40 nM. It is 7.5-fold more selective for CDK1, 2, 4, 6 versus CDK7. Flavopiridol is initially found to inhibit EGFR and PKA. Phase 1/2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40540.nd2.tif_merged.tif
1.2,D17,41,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,AG-1024,65678-07-1,305.17,https://pubchem.ncbi.nlm.nih.gov/compound/2044,2.5,Protein Tyrosine Kinase,IGF-1R,"AG-1024 (Tyrphostin) inhibits IGF-1R autophosphorylation with IC50 of 7 μM, is less potent to IR with IC50 of 57 μM and specifically distinguishes between InsR and IGF-1R (as compared to other tyrphostins).",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40541.nd2.tif_merged.tif
1.2,C17,42,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Amuvatinib,850879-09-3,447.51,https://pubchem.ncbi.nlm.nih.gov/compound/11282283,2.5,Protein Tyrosine Kinase,"c-Kit,FLT3,PDGFR","Amuvatinib (MP-470) is a potent and multi-targeted inhibitor of c-Kit, PDGFRα and Flt3 with IC50 of 10 nM, 40 nM and 81 nM, respectively. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40542.nd2.tif_merged.tif
1.2,C16,43,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,JNJ-7706621,443797-96-4,394.36,https://pubchem.ncbi.nlm.nih.gov/compound/5330790,2.5,Cell Cycle,"Aurora Kinase,CDK",JNJ-7706621 is pan-CDK inhibitor with the highest potency on CDK1/2 with IC50 of 9 nM/4 nM and showing >6-fold selectivity for CDK1/2 than CDK3/4/6 in cell-free assays. It also potently inhibits Aurora A/B and has no activity on Plk1 and Wee1.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40543.nd2.tif_merged.tif
1.2,C15,44,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,CHIR-99021,252917-06-9,465.34,https://pubchem.ncbi.nlm.nih.gov/compound/9956119,2.5,PI3K/Akt/mTOR,GSK-3,"CHIR-99021 (CT99021) is a GSK-3α and GSK-3β inhibitor with IC50 of 10 nM and 6.7 nM, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40544.nd2.tif_merged.tif
1.2,C14,45,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,PD173074,219580-11-7,523.67,https://pubchem.ncbi.nlm.nih.gov/compound/1401,2.5,Angiogenesis,"FGFR,VEGFR","PD173074 is a potent FGFR1 inhibitor with IC50 of ~25 nM and also inhibits VEGFR2 with IC50 of 100-200 nM in cell-free assays, ~1000-fold selective for FGFR1 than PDGFR and c-Src.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40545.nd2.tif_merged.tif
1.2,C13,46,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,WYE-354,1062169-56-5,495.53,https://pubchem.ncbi.nlm.nih.gov/compound/44219749,2.5,PI3K/Akt/mTOR,mTOR,"WYE-354 is a potent, specific and ATP-competitive inhibitor of mTOR with IC50 of 5 nM, blocks mTORC1/P-S6K(T389) and mTORC2/P-AKT(S473) not P-AKT(T308), selective for mTOR than PI3Kα (>100-fold) and PI3Kγ (>500-fold). ",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40546.nd2.tif_merged.tif
1.2,C12,47,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Vemurafenib,918504-65-1,489.92,https://pubchem.ncbi.nlm.nih.gov/compound/42611257,2.5,MAPK,Raf,"Vemurafenib (PLX4032, RG7204) is a novel and potent inhibitor of B-RafV600E with IC50 of 31 nM in cell-free assay.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40547.nd2.tif_merged.tif
1.2,C11,48,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,BX-795,702675-74-9,591.47,https://pubchem.ncbi.nlm.nih.gov/compound/10077147,2.5,PI3K/Akt/mTOR,"IκB/IKK,PDK","BX795 is a potent and specific PDK1 inhibitor with IC50 of 6 nM, 140- and 1600-fold more selective for PDK1 than PKA and PKC in cell-free assays, respectively. Meanwhile, in comparison to GSK3β more than 100-fold selectivity observed for PDK1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40548.nd2.tif_merged.tif
1.2,C10,49,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,DMSO,,,,2.5,,,,vehicle control,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40549.nd2.tif_merged.tif
1.2,C9,50,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,DMSO,,,,2.5,,,,vehicle control,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40550.nd2.tif_merged.tif
1.3,C8,1,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,BX-912,702674-56-4,471.35,https://pubchem.ncbi.nlm.nih.gov/compound/11754511,2.5,PI3K/Akt/mTOR,PDK,"BX912 is a potent and specific PDK1 inhibitor with IC50 of 12 nM, 9- and 105- fold greater selectivity for PDK1 than PKA and PKC in cell-free assays, respectively. In comparison to GSK3β, selectivity for PDK1 is 600-fold.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40501.nd2.tif_merged.tif
1.3,D8,2,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Genistein,446-72-0,270.24,https://pubchem.ncbi.nlm.nih.gov/compound/5280961,2.5,Protein Tyrosine Kinase,"EGFR,Topoisomerase","Genistein, a phytoestrogen found in soy products, is a highly specific inhibitor of protein tyrosine kinase (PTK)  which blocks the mitogenic effect mediated by EGF on NIH-3T3 cells with IC50 of 12μM or by insulin with IC50 of 19 μM. ",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40502.nd2.tif_merged.tif
1.3,E8,3,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,TG100-115,677297-51-7,346.34,https://pubchem.ncbi.nlm.nih.gov/compound/10427712,2.5,PI3K/Akt/mTOR,PI3K,"TG100-115 is a PI3Kγ/δ inhibitor with IC50 of 83 nM/235 nM, with little effect on PI3Kα/β. Phase 1/2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40503.nd2.tif_merged.tif
1.3,F8,4,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,MGCD-265,875337-44-3,517.6,https://pubchem.ncbi.nlm.nih.gov/compound/24901704,2.5,Protein Tyrosine Kinase,"c-Met,Tie-2,VEGFR","MGCD-265 is a potent, multi-target and ATP-competitive inhibitor of c-Met and VEGFR1/2/3 with IC50 of 1 nM, 3 nM/3 nM/4 nM, respectively; also inhibits Ron and Tie2. Phase 1/2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40504.nd2.tif_merged.tif
1.3,G8,5,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Rigosertib,1225497-78-8,473.47,https://pubchem.ncbi.nlm.nih.gov/compound/23696523,2.5,Cell Cycle,PLK,Rigosertib (ON-01910) is a non-ATP-competitive inhibitor of PLK1 with IC50 of 9 nM in a cell-free assay. It shows 30-fold greater selectivity against Plk2 and no activity to Plk3. Phase 3.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40505.nd2.tif_merged.tif
1.3,G9,6,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Ki8751,228559-41-9,469.41,https://pubchem.ncbi.nlm.nih.gov/compound/11317348,2.5,Protein Tyrosine Kinase,"c-Kit,PDGFR,VEGFR","Ki8751 is a potent and selective inhibitor of VEGFR2 with IC50 of 0.9 nM, >40-fold selective for VEGFR2 than c-Kit, PDGFRα and FGFR-2, little activity to EGFR, HGFR and InsR.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40506.nd2.tif_merged.tif
1.3,F9,7,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Ruxolitinib,941678-49-5,306.37,https://pubchem.ncbi.nlm.nih.gov/compound/25126798,2.5,JAK/STAT,JAK,"Ruxolitinib (INCB018424) is the first potent, selective, JAK1/2 inhibitor to enter the clinic with IC50 of 3.3 nM/2.8 nM in cell-free assays, >130-fold selectivity for JAK1/2 versus JAK3. ",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40507.nd2.tif_merged.tif
1.3,E9,8,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Pelitinib,257933-82-7,467.92,https://pubchem.ncbi.nlm.nih.gov/compound/6445562,2.5,Protein Tyrosine Kinase,EGFR,Pelitinib (EKB-569) is a potent irreversible EGFR inhibitor with IC50 of 38.5 nM. Phase2.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40508.nd2.tif_merged.tif
1.3,D9,9,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Aurora A Inhibitor I,1158838-45-9,588.07,https://pubchem.ncbi.nlm.nih.gov/compound/44139710,2.5,Cell Cycle,Aurora Kinase,"Aurora A Inhibitor I is a novel, potent, and selective inhibitor of Aurora A with IC50 of 3.4 nM in a cell-free assay. It is 1000-fold more selective for Aurora A than Aurora B.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40509.nd2.tif_merged.tif
1.3,D10,10,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,PHA-680632,398493-79-3,501.62,https://pubchem.ncbi.nlm.nih.gov/compound/11249084,2.5,Cell Cycle,Aurora Kinase,"PHA-680632 is potent inhibitor of Aurora A, Aurora B and Aurora C with IC50 of 27 nM, 135 nM and 120 nM, respectively. It has 10- to 200-fold higher IC50 for FGFR1, FLT3, LCK, PLK1, STLK2, and VEGFR2/3. ",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-3_40510.nd2.tif_merged.tif
